time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent, accelerator
1,0,0,-8.57,0,0,-0.66,0.3,30.47,0.39,515
2,0,0,0,0,0,-0.66,0.3,30.31,0.39,247
3,0,0,0,0,0,-0.66,0.3,30.47,0.39,513
4,0,0,0,0,0,-0.66,0.2,30.47,0.39,514
5,0,0,0,0,0,-0.66,0.3,30.16,0.39,444
6,0,0,0,0,0,-0.66,0.2,30.31,0.3,605
7,0,0,0,0,0,-0.5,0.3,30.31,0.49,616
8,0,0,0,0,0,-0.5,0.2,30.31,0.39,442
9,0,0,0,0,0,-0.5,0.3,30.31,0.49,1023
10,0,0,0,0,0,-0.34,0.3,30.31,0.39,624
11,0,0,0,0,0,-0.5,0.3,30.47,0.39,638
12,0,0,0,0,0,-0.34,0.3,30.47,0.3,575
13,0,0,0,0,0,-0.34,0.2,30.31,0.3,602
14,0,0,0,0,0,-0.34,0.3,30.47,0.49,1023
15,0,0,0,0,0,-0.34,0.2,30.47,0.3,601
16,0,0,0,0,0,-0.34,0.2,30.47,0.39,249
17,0,0,0,0,0,-0.34,0.2,30.16,0.39,248
18,0,0,0,0,0,-0.5,0.2,30.16,0.3,443
19,0,0,0,0,0,-0.34,0.3,30.31,0.3,1023
20,0,0,0,0,0,-0.34,0.3,30.31,0.39,605
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent, accelerator
0,0,0,-8.57,0,0,-0.82,0.2,30.31,0.3,515
1,1,0,0,0,0,-0.66,0.2,30.16,0.3,247
2,1,0,0,0,0,-0.66,0.3,30.16,0.49,514
3,1,0,0,0,0,-0.5,0.2,30.31,0.39,443
4,1,0,0,0,0,-0.18,0.3,30.31,0.39,1023
5,1,0,0,0,0,-0.34,0.2,30.47,0.39,594
6,1,0,0,0,0,-0.5,0.3,30.31,0.39,601
7,1,0,0,0,0,-0.5,0.2,30.16,0.39,248
8,1,0,0,0,0,-0.34,0.2,30.31,0.39,443
9,1,0,0,0,0,-0.34,0.3,30.31,0.39,1023
10,1,0,0,0,0,-0.34,0.2,30.16,0.39,588
11,1,0,0,0,0,-0.34,0.2,30,0.39,593
12,1,0,0,0,0,-0.34,0.2,30.16,0.39,597
13,1,0,0,0,0,-0.34,0.3,30.31,0.39,522
14,1,0,0,0,0,-0.34,0.2,30.16,0.39,591
15,1,0,0,0,0,-0.34,0.3,30.31,0.3,581
16,1,0,0,0,0,-0.34,0.2,30.31,0.49,524
17,1,0,0,0,0,-0.18,0.3,30.47,0.39,592
18,1,0,0,0,0,-0.34,0.2,30.31,0.39,590
19,2,18,8.57,0.74,0,-0.34,0.3,30.31,0.39,544
20,2,18,0,0,0,-0.18,0.3,30.16,0.3,515
21,2,18,0,0,0,-0.18,0.3,30.31,0.39,249
22,2,18,0,0,0,-0.18,0.3,30.16,0.39,250
23,2,18,0,0,0,-0.34,0.3,30.31,0.39,1023
24,2,18,17.14,1.58,0,2.66,0.49,30.16,0.69,573
25,2,18,60,5.56,2,8.03,0.49,30.16,1.08,578
26,2,18,120,11.13,5,13.41,3.03,30,1.27,563
27,2,18,137.14,12.71,8,6.45,0.2,30.16,0.39,291
29,2,18,94.29,8.72,11,0.29,0.3,30.31,0.39,252
30,2,18,60,5.56,12,-0.18,0.2,30.16,0.39,597
31,2,18,17.14,1.58,13,0.45,0.78,30.47,0.49,520
32,2,18,25.71,2.32,13,5.19,0.49,30.16,0.78,538
33,2,18,85.71,7.88,16,10.72,2.93,30,1.17,570
34,2,18,154.29,14.28,20,15.62,2.25,30,1.47,1023
35,2,18,171.43,15.86,24,9.77,0.3,30.31,0.39,558
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent, accelerator
0,0,0,-8.57,0,0,-0.82,0.3,30.31,0.39,515
1,0,0,0,0,0,-0.5,0.3,30.16,0.39,247
2,0,0,0,0,0,-0.34,0.2,30.16,0.39,514
3,0,0,0,0,0,-0.5,0.2,30.31,0.49,443
4,0,0,0,0,0,-0.5,0.2,30.47,0.39,1023
5,0,0,0,0,0,-0.5,0.3,30.47,0.3,604
