time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
1,0,0,-8.57,0,0,0.92,0.2,29.84,0.39,11.6376,514
2,1,0,0,0,0,0.76,0.3,29.68,0.39,11.5752,440
3,1,0,0,0,0,0.76,0.2,29.52,0.49,14.4648,440
4,1,0,0,0,0,0.76,0.2,29.68,0.3,8.904,439
5,1,0,0,0,0,0.61,0.2,29.84,0.39,11.6376,513
6,1,0,0,0,0,0.76,0.2,29.52,0.3,8.856,514
7,1,0,0,0,0,2.82,1.08,29.84,0.59,17.6056,439
8,1,0,42.86,3.9,1,8.98,1.56,29.68,1.08,32.0544,519
9,1,0,77.14,7.14,3,4.56,0.3,29.84,0.39,11.6376,481
10,1,0,25.71,2.32,3,0.92,0.3,29.84,0.39,11.6376,491
11,1,0,0,0,3,0.76,0.2,29.68,0.39,11.5752,1023
12,1,0,0,0,3,0.76,0.3,29.68,0.39,11.5752,489
13,1,0,0,0,3,0.76,0.2,29.68,0.39,11.5752,256
14,1,0,0,0,3,0.76,0.3,29.52,0.3,8.856,515
15,1,0,0,0,3,0.76,0.3,29.52,0.3,8.856,256
16,1,0,0,0,3,0.76,0.2,29.84,0.39,11.6376,515
17,1,0,0,0,3,0.76,0.2,29.68,0.39,11.5752,256
18,1,0,0,0,3,0.76,0.3,29.84,0.39,11.6376,515
19,1,0,0,0,3,0.76,0.2,29.68,0.39,11.5752,256
20,1,0,0,0,3,0.76,0.3,29.68,0.39,11.5752,515
21,1,0,0,0,3,0.76,0.3,29.84,0.39,11.6376,256
22,1,0,8.57,0.74,3,3.77,0.39,29.52,0.49,14.4648,517
23,1,0,60,5.56,5,9.45,1.96,29.37,1.08,31.7196,1023
24,1,0,111.43,10.29,8,14.83,0.69,29.68,1.27,37.6936,356
25,1,0,145.71,13.45,12,11.51,0.3,29.68,0.39,11.5752,431
26,1,0,102.86,9.46,14,5.98,0.2,29.84,0.39,11.6376,395
27,1,0,60,5.56,16,1.4,0.2,29.52,0.39,11.5128,1023
28,1,0,34.29,3.15,17,0.76,0.2,29.68,0.39,11.5752,483
29,1,0,0,0,17,0.76,0.2,29.84,0.39,11.6376,519
30,1,0,0,0,17,0.76,0.3,29.68,0.39,11.5752,513
31,1,0,0,0,17,0.76,0.2,29.68,0.39,11.5752,513
32,1,0,0,0,17,0.76,0.2,29.37,0.39,11.4543,514
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
1,0,0,-8.57,0,0,0.76,0.3,29.68,0.39,11.5752,515
2,0,0,0,0,0,0.76,0.3,27.94,0.3,8.382,256
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
1,0,0,-8.57,0,0,0.76,0.3,29.84,0.49,14.6216,515
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
1,0,0,-8.57,0,0,0.76,0.2,29.68,0.39,11.5752,515
2,0,0,0,0,0,0.92,0.2,29.68,0.39,11.5752,255
3,0,0,0,0,0,0.76,0.2,29.68,0.49,14.5432,461
4,0,0,0,0,0,0.76,0.3,29.68,0.39,11.5752,482
